world_index,ellipse,marker_type
384,"(269.7131652832031, 545.1519165039062)",Ref
385,"(269.6282653808594, 545.0650634765625)",Ref
386,"(269.99212646484375, 544.6939086914062)",Ref
387,"(270.3633117675781, 544.4392700195312)",Ref
388,"(270.3211364746094, 544.5933227539062)",Ref
389,"(269.8373107910156, 544.775634765625)",Ref
390,"(269.6120300292969, 544.776611328125)",Ref
391,"(269.5592956542969, 544.6342163085938)",Ref
392,"(269.5, 544.5)",Ref
393,"(269.5, 544.5)",Ref
394,"(269.4745788574219, 544.4479370117188)",Ref
395,"(269.3793029785156, 544.3013916015625)",Ref
396,"(269.44598388671875, 544.0219116210938)",Ref
397,"(269.5, 544.0)",Ref
398,"(269.651123046875, 543.90625)",Ref
399,"(269.92559814453125, 543.9995727539062)",Ref
400,"(270.09344482421875, 544.4539794921875)",Ref
401,"(270.046875, 545.0340576171875)",Ref
402,"(269.7728271484375, 545.133056640625)",Ref
403,"(269.5506591796875, 544.714111328125)",Ref
404,"(269.253662109375, 544.4989013671875)",Ref
405,"(268.9512023925781, 544.52880859375)",Ref
406,"(269.161376953125, 544.4479370117188)",Ref
407,"(269.4687194824219, 544.2249145507812)",Ref
408,"(269.7555236816406, 544.3067016601562)",Ref
409,"(269.5814514160156, 544.6868286132812)",Ref
410,"(269.32391357421875, 545.0739135742188)",Ref
411,"(268.8907165527344, 545.1797485351562)",Ref
412,"(268.7266540527344, 545.1032104492188)",Ref
413,"(268.6687927246094, 545.1138916015625)",Ref
414,"(268.69366455078125, 544.9492797851562)",Ref
415,"(268.57183837890625, 544.6646118164062)",Ref
416,"(268.55206298828125, 544.525390625)",Ref
417,"(268.5943298339844, 544.5659790039062)",Ref
418,"(268.746337890625, 544.5010986328125)",Ref
419,"(268.78936767578125, 544.5763549804688)",Ref
420,"(269.15618896484375, 545.1165161132812)",Ref
421,"(269.07330322265625, 545.6170043945312)",Ref
422,"(269.0075378417969, 545.5901489257812)",Ref
423,"(269.0, 545.5)",Ref
424,"(268.838623046875, 545.5520629882812)",Ref
425,"(268.83355712890625, 545.4915771484375)",Ref
426,"(268.92193603515625, 545.6976318359375)",Ref
927,"(558.164306640625, 248.0)",Stop
928,"(559.0374145507812, 250.583740234375)",Stop
929,"(560.5933227539062, 254.2344970703125)",Stop
930,"(561.5, 257.27630615234375)",Stop
931,"(561.2763061523438, 259.5)",Ref
932,"(560.7291259765625, 263.1673889160156)",Ref
933,"(560.4742431640625, 267.00933837890625)",Stop
934,"(561.10546875, 270.31292724609375)",Stop
935,"(561.5720825195312, 273.57208251953125)",Stop
936,"(561.4505004882812, 277.04547119140625)",Ref
937,"(560.6747436523438, 280.67474365234375)",Stop
938,"(559.888671875, 283.28692626953125)",Ref
939,"(560.1715698242188, 287.00604248046875)",Stop
940,"(560.6363525390625, 289.3636169433594)",Ref
941,"(560.6171875, 293.2157287597656)",Ref
942,"(560.0, 295.5)",Ref
943,"(559.3861083984375, 299.6139221191406)",Ref
944,"(559.463623046875, 301.83819580078125)",Ref
945,"(560.2845458984375, 306.95941162109375)",Ref
946,"(560.915771484375, 310.0337829589844)",Ref
947,"(560.8169555664062, 312.9784851074219)",Ref
948,"(560.55224609375, 313.5696716308594)",Ref
949,"(560.9483642578125, 317.7205505371094)",Ref
950,"(561.537109375, 320.4523010253906)",Ref
951,"(562.179931640625, 324.859130859375)",Ref
952,"(561.8984985351562, 328.6758728027344)",Ref
953,"(561.1480102539062, 331.5)",Ref
954,"(560.77880859375, 335.0016784667969)",Ref
955,"(560.8593139648438, 338.0393981933594)",Ref
956,"(560.8593139648438, 340.9606018066406)",Ref
957,"(560.8814086914062, 344.32666015625)",Ref
958,"(561.0, 347.0)",Ref
959,"(561.1672973632812, 350.29058837890625)",Ref
960,"(561.5916137695312, 353.87200927734375)",Ref
961,"(561.32666015625, 356.8813781738281)",Ref
962,"(561.1192626953125, 359.8807373046875)",Ref
963,"(561.3854370117188, 362.7164306640625)",Ref
964,"(561.3814697265625, 366.0)",Ref
965,"(561.5597534179688, 368.9345703125)",Ref
