world_index,gaze_timestamp,gaze,marker,marker_type
4335,8827.725069926932,"(317.62133898177575, 485.5961613381105)","(304.7197570800781, 504.8868713378906)",Ref
4336,8827.737456870931,"(318.50776538400106, 484.34859061097666)","(304.5257568359375, 505.00933837890625)",Ref
4336,8827.74645370393,"(320.8181371421924, 484.51481403046114)","(304.5257568359375, 505.00933837890625)",Ref
4337,8827.759924074931,"(320.50187475831, 483.59206026420907)","(304.40838623046875, 505.12799072265625)",Ref
4337,8827.77071716693,"(317.6971328072103, 483.3145093933971)","(304.40838623046875, 505.12799072265625)",Ref
4337,8827.77977475993,"(298.64353684737705, 495.3117264962789)","(304.40838623046875, 505.12799072265625)",Ref
4337,8827.790797963931,"(295.4287882899437, 497.75872691485245)","(304.40838623046875, 505.12799072265625)",Ref
4338,8827.805287833931,"(295.2352635976065, 496.9970220645846)","(304.0961608886719, 505.0961608886719)",Ref
4338,8827.813735259931,"(297.37395657496097, 492.5578700594032)","(304.0961608886719, 505.0961608886719)",Ref
4338,8827.82491383393,"(296.4296384977184, 495.44198913838227)","(304.0961608886719, 505.0961608886719)",Ref
4339,8827.837232185931,"(296.42527593019804, 494.0624800445401)","(304.2802429199219, 505.1131286621094)",Ref
4339,8827.84628907493,"(295.8783072545281, 492.5460567723957)","(304.2802429199219, 505.1131286621094)",Ref
4340,8827.858275666931,"(295.6567253274891, 491.63195682496547)","(304.2514953613281, 505.20013427734375)",Ref
4340,8827.870721444931,"(295.14922921292236, 492.00295492021604)","(304.2514953613281, 505.20013427734375)",Ref
4340,8827.87958540793,"(294.1026059568495, 489.2212524730614)","(304.2514953613281, 505.20013427734375)",Ref
4340,8827.891410740931,"(294.6841396667396, 491.5533658950708)","(304.2514953613281, 505.20013427734375)",Ref
4341,8827.90379072293,"(294.0926334892558, 490.3041183684967)","(304.2430725097656, 505.0258483886719)",Ref
4341,8827.91286477793,"(293.99307728567675, 490.5106903846485)","(304.2430725097656, 505.0258483886719)",Ref
4341,8827.923908240931,"(292.68596061145274, 488.3697001796236)","(304.2430725097656, 505.0258483886719)",Ref
4342,8827.93783681493,"(295.1975361013307, 487.9391918088746)","(304.27789306640625, 504.70404052734375)",Ref
4342,8827.94617951893,"(294.99792793727494, 488.61892489715217)","(304.27789306640625, 504.70404052734375)",Ref
4343,8827.95802449993,"(292.154001803402, 489.1551387981112)","(304.4478454589844, 504.203125)",Ref
4343,8827.97172690793,"(291.8903999402679, 489.54156070047463)","(304.4478454589844, 504.203125)",Ref
4343,8827.97952146293,"(294.752936237588, 487.2407425468931)","(304.4478454589844, 504.203125)",Ref
4343,8827.990476981931,"(291.9385786219076, 487.6103905638054)","(304.4478454589844, 504.203125)",Ref
4344,8828.00354896293,"(292.4860686291844, 487.6496688676761)","(304.7687683105469, 504.3539733886719)",Ref
4344,8828.01269088893,"(293.7042875890685, 488.21615917701143)","(304.7687683105469, 504.3539733886719)",Ref
4344,8828.024478333931,"(291.7122397426025, 488.56869666065757)","(304.7687683105469, 504.3539733886719)",Ref
4345,8828.03689638893,"(292.6474363396589, 490.33339109727956)","(305.0523376464844, 504.7156677246094)",Ref
4345,8828.045992018931,"(293.81916578290213, 488.41032625505375)","(305.0523376464844, 504.7156677246094)",Ref
4345,8828.057019111931,"(293.40245385933565, 485.3891331850149)","(305.0523376464844, 504.7156677246094)",Ref
4346,8828.07005757393,"(294.9927411095339, 481.7220255099654)","(304.6453552246094, 504.48724365234375)",Ref
4346,8828.07923940793,"(292.7390113947178, 483.1667343162014)","(304.6453552246094, 504.48724365234375)",Ref
4346,8828.091081592931,"(291.0331527566315, 483.5747843468964)","(304.6453552246094, 504.48724365234375)",Ref
4347,8828.103475573931,"(290.972404675643, 487.5808339520188)","(304.7197570800781, 504.8868713378906)",Ref
4347,8828.112505796931,"(292.4240149958975, 483.95372390456976)","(304.7197570800781, 504.8868713378906)",Ref
4347,8828.12432803693,"(291.9207788475863, 483.4639303376636)","(304.7197570800781, 504.8868713378906)",Ref
4348,8828.138177129931,"(293.4972817514359, 480.017966520992)","(304.6209716796875, 505.1536560058594)",Ref
4348,8828.145884259931,"(291.46744509618406, 480.5397418958887)","(304.6209716796875, 505.1536560058594)",Ref
4349,8828.15936672293,"(292.94610371584014, 480.4730278141217)","(304.63818359375, 505.4139404296875)",Ref
4349,8828.174164462931,"(292.5507028292048, 481.76362761601166)","(304.63818359375, 505.4139404296875)",Ref
